language,id,country,organization,surname,status,date_feedback,is_disliked_by_me,reference_initiative,is_liked_by_me,first_name,feedback,login,publication,user_type,company_size,publication_status,publication_id,tr_number,feedback_text_user_language,scope,governance_level
en,3498628,GBR,Nemo Link ,,PUBLISHED,2024-11-27 23:02:14,False,Ares(2024)7706795,False,,"We welcome the EC consultation on the Implementing Act on CBAM declarants authorisation and the opportunity to respond to it. The EU and the UK share similar commitments and ambitions for climate neutrality and mitigating climate change, each with its own legally binding target to achieve net zero emissions by 2050. The EU has committed to a legally binding target of at least a 55% reduction in greenhouse gas emissions by 2030 (relative to 1990 levels), whilst the UK has the target of reducing greenhouse gas emissions by at least a 68% by 2030 (relative to 1990 levels) with a view to increasing emission reductions to 81% by 2035. Furthermore, the UK has its own domestic emissions trading system (ETS), the scope and ambition of the UK ETS is broadly aligned with that of the EU. Reducing barriers to energy trade between the UK and the EU, and increasing cooperation between the UK, SEM-GB and continental Europe, as well as unlocking the potential of interconnections across the Channel, the North Sea, and the Irish Sea is vital to achieving net zero objectives for both sides. In that context, it is absolutely crucial that the design and implementation of the CBAM does not inadvertently create undue trade barriers and administrative burdens to efficient electricity exchange between the UK and its European partners.",,anonymous,company,small,closed,33194896,,,,
en,3498621,BEL,National Grid Ventures,NENOVA,PUBLISHED,2024-11-27 22:54:43,False,Ares(2024)7706795,False,Stela,"We welcome the EC consultation on the Implementing Act on CBAM declarants authorisation and the opportunity to respond to it. The EU and the UK share similar commitments and ambitions for climate neutrality and mitigating climate change, each with its own legally binding target to achieve net zero emissions by 2050. The EU has committed to a legally binding target of at least a 55% reduction in greenhouse gas emissions by 2030 (relative to 1990 levels), whilst the UK has the target of reducing greenhouse gas emissions by at least a 68% by 2030 (relative to 1990 levels) with a view to increasing emission reductions to 81% by 2035. Furthermore, the UK has its own domestic emissions trading system (ETS), the scope and ambition of the UK ETS is broadly aligned with that of the EU. Reducing barriers to energy trade between the UK and the EU, and increasing cooperation between the UK, SEM-GB and continental Europe, as well as unlocking the potential of interconnections across the Channel, the North Sea, and the Irish Sea is vital to achieving net zero objectives for both sides. In that context, it is absolutely crucial that the design and implementation of the CBAM does not inadvertently create undue trade barriers and administrative burdens to efficient electricity exchange between the UK and its European partners. We would like to recommend the following improvements to the EC proposal for an implementing act for CBAM declarants: 1. Simplify complex processes and reduce unnecessary administrative and financial obligations; 2. Provide timely clarification on the requirements for guarantees and CBAM certificates; and 3. Ensure that reporting requirements are fit for purpose for the electricity sector: netting of interconnectors capacities in different timeframes and scales should be allowed to avoid importers having to pay for CBAM on volumes that have not been physically delivered into the EU. Please find in attachment our detailed recommendations.",,withinfo,company,large,closed,33194896,56039866688-26,,,
en,3498622,DNK,Danish Industry,,PUBLISHED,2024-11-27 22:52:04,False,Ares(2024)7706795,False,,"On behalf of Danish Industry, we thank you for the opportunity to provide input to the consultation regarding conditions and proce-dures related to the status of authorized CBAM declarant. Please see attached document for the input provided.",,anonymous,business_association,large,closed,33194896,,,,
en,3498614,BEL,Transmission System Operator ,Houman,PUBLISHED,2024-11-27 21:32:16,False,Ares(2024)7706795,False,Marianne,"We trust the new European Commission would be willing to take enclosed contribution into consideration. In general terms, the given deadline for feedback was quite short while many legal questions remain and could not all be captured in this consultation. Therefore, we would highly appreciate providing further guidance with support from the European Association for TSOs to fully capture the societal role of TSOs, the complexity of the electricity market(s) and the regulatory requirements TSOs need to fulfill. For further details on the above, please consult the attached file.",,withinfo,other,large,closed,33194896,73558824193-08,,,
en,3498613,NLD,Tata Steel Nederland ,van der Horst,PUBLISHED,2024-11-27 21:07:42,False,Ares(2024)7706795,False,Carl,Please find attached the feedback of Tata Steel Nederland,,withinfo,company,large,closed,33194896,08746491502-16,,,
en,3498607,DEU,BMW AG,Hessler,PUBLISHED,2024-11-27 21:06:01,False,Ares(2024)7706795,False,Moritz,"I) The currently established deadlines and roadmaps for the implementation of the Authorized CBAM Declarant appear ambitious, given the substantial number of applications to be processed and approved, as well as the experience with CBAM implementation at the national level. We recommend a thorough review of the timelines to ensure a practicable and effective introduction of the authorization. A more feasible approach could include the following pillars: - For companies holding the status of Authorized Economic Operator (AEO), the application process to become a CBAM declarant should be significantly streamlined and simplified. This would considerably reduce the administrative burden for both enterprises and authorities and facilitate the overall implementation of CBAM. - Instead of introducing additional minimum threshold levels (as proposed by other respondents, e.g., based on import weights) for the declarant status, a swift adjustment of the overall CBAM De-Minimis is inevitable for the effectiveness and feasibility of the overall scheme. II) The dependencies between correlated statuses/authorizations and the CBAM declarant should be specified unambiguously, particularly the reciprocal and immediate interdependencies of infringements or individual simplifications, definitions (i.e. CBAM, customs).",,withinfo,company,large,closed,33194896,,,,
en,3498604,BEL,CLECAT,Cartwright,PUBLISHED,2024-11-27 20:41:06,False,Ares(2024)7706795,False,Eva,"CLECAT, the European association of freight forwarders and customs agents, appreciates the Commissions efforts to provide industry with clear guidelines through the draft Implementing Regulation. We offer the following recommendations to support a harmonised and efficient implementation across the EU. ( see attachment)",,withinfo,business_association,large,closed,33194896,684985491-01,,,
en,3498598,BRA,Anônimo,,PUBLISHED,2024-11-27 20:10:20,False,Ares(2024)7706795,False,,"1) For operations involving multiple operators in the chain, the system should require product emission data from the beginning of the chain. 2) For operations involving multiple traders in the chain, the system should require the registration of all traders in the chain. 3) The system should include a value simulator that can provide emission data for the operators involved. 4) The CBAM should be the official source of emissions for transactions conducted with the EU, aiming to reduce the reporting burden on operators. 5) The obligation to report emission data in the CBAM should be annual for those operators who only calculate emissions once a year. 6) Deadlines for data updates, declarations, record validity, or other relevant milestones in the system should be systematically notified to declarants and operators via electronic messages sent to previously registered email addresses, with 60, 30, 15, and 10 days' notice. 7) The CBAM should have its mapping of accredited verifiers available in regions other than the EU. 8) The approval period for the registrar (120 days is too long) should be reduced, or at least an emergency procedure should be created. 9) There is a need to develop regulations for the financial guarantees required to cover CBAM certificates. 10) Additionally, non-financial guarantees should be accepted. 11) Simplification of forms with the possibility of cross-authorization between registrars so that one can use the information of the other, if it makes sense. 12) Creation of a transparency portal where registrars can monitor their processes and third parties can monitor the registrants to provide a minimum level of security for process participants who are not importers.",,anonymous,company,large,closed,33194896,,,,
de,3498585,DEU,Adolf Würth GmbH & Co. KG,Kessler,PUBLISHED,2024-11-27 19:07:38,False,Ares(2024)7706795,False,Susan,"Wir bedanken uns für die Möglichkeit einer Stellungnahme zum CO2-Grenzausgleichssystem (CBAM) Zulassung von CBAM-Anmeldern (europa.eu). Unser Beitrag zur Konsultation zur Festlegung der Verfahren und Bedingungen für die Zulassung von CBAM-Anmeldern: Wir begrüßen die Initiative zur Festlegung der Verfahren und Bedingungen für die Zulassung von CBAM-Anmeldern gemäß der Durchführungsverordnung. Auf Basis unserer praktischen Erfahrungen und den Rückmeldungen aus der Umfrage unter Gesellschaften möchten wir die folgenden Punkte als Beitrag zu dieser Konsultation hervorheben: 1. Klärung der Konsultationsfristen: Im Entwurf wird mehrfach auf unterschiedliche Fristen verwiesen (z. B. 15, 45 oder 120 Tage). Eine klare und einheitliche Definition der Fristen für Konsultationsverfahren und Antragsbearbeitung ist essenziell, um Verwirrung zu vermeiden. 2. Transparente Anforderungen an die Antragsteller: Die Anforderungen, insbesondere zur Nachweispflicht für finanzielle und operative Kapazitäten (Artikel 17(2)), sollten mit klaren Richtlinien ergänzt werden. Es ist wichtig, zu spezifizieren, welche Dokumente als Nachweise akzeptiert werden (z. B. geprüfte Finanzberichte, interne Kontrollsysteme) und wie diese zu bewerten sind. 3. Verfahren für kleinere Unternehmen: Der Ansatz, kleine und mittelständische Unternehmen (KMU) von unnötigen administrativen Belastungen zu entlasten, wird ausdrücklich begrüßt. Die Kriterien und Verfahren zur Berücksichtigung spezifischer Unternehmenscharakteristika könnten jedoch weiter präzisiert werden. 4. Gewährleistung der Datenkonsistenz im CBAM-Register: Eine zentrale Herausforderung wird die Integration und Überwachung der Daten im CBAM-Register sein. Es sollte sichergestellt werden, dass die Anmelder ihre Daten einfach aktualisieren können, ohne dabei erneute Antragsverfahren durchlaufen zu müssen, sofern es sich nicht um wesentliche Änderungen handelt. 5. Unterstützung für betroffene Unternehmen: Viele Unternehmen haben Schwierigkeiten mit der Datenbeschaffung entlang der Lieferkette. Standardisierte Vorlagen oder Tools könnten helfen, die Datenanforderungen effizient zu erfüllen. 6. Berücksichtigung von Übergangsfristen: Um Unternehmen den Übergang zur CBAM-Konformität zu erleichtern, sollten Übergangsfristen oder vereinfachte Verfahren für Erstanträge definiert werden.",,withinfo,company,large,closed,33194896,268816091687-73,"Thank you for the possibility of an opinion on the Carbon Border Adjustment Mechanism (CBAM) Authorisation of CBAM declarants (europa.eu). Our contribution to the consultation on the establishment of the procedures and conditions for the authorisation of CBAM declarants: We welcome the initiative to establish the procedures and conditions for the authorisation of CBAM declarants under the Implementing Regulation. Based on our practical experience and feedback from the Societies survey, we would like to highlight the following points as input to this consultation: 1. Clarification of consultation deadlines: The draft makes several references to different deadlines (e.g. 15, 45 or 120 days). A clear and uniform definition of deadlines for consultation procedures and processing of applications is essential to avoid confusion. 2. Transparent requirements for applicants: The requirements, in particular on the requirement to demonstrate financial and operational capacity (Article 17(2)), should be complemented by clear guidelines. It is important to specify which documents are accepted as evidence (e.g. audited financial reports, internal control systems) and how to assess them. 3. Procedures for smaller companies: The approach of alleviating unnecessary administrative burdens on small and medium-sized enterprises (SMEs) is strongly welcomed. However, the criteria and procedures for taking into account specific business characteristics could be further clarified. 4. Ensuring data consistency in the CBAM registry: A key challenge will be the integration and monitoring of data in the CBAM registry. It should be ensured that notifiers can easily update their data without having to go through new application procedures, unless the changes are substantial. 5. Support for affected businesses: Many companies face difficulties in obtaining data along the supply chain. Standardised templates or tools could help to efficiently meet the data requirements. 6. Taking into account transitional periods: In order to facilitate the transition to CBAM compliance, transitional periods or simplified procedures for initial applications should be defined.",,
en,3498575,SWE,Inter IKEA Group,Lee,PUBLISHED,2024-11-27 18:59:24,False,Ares(2024)7706795,False,Keika,IKEA welcomes the European Commissions efforts to establish clear procedures and conditions for authorising CBAM declarants. We are pleased to provide our feedback to the consultation in the attached.,,withinfo,company,large,closed,33194896,774019931221-41,,,
