language,id,country,organization,surname,status,date_feedback,is_disliked_by_me,reference_initiative,is_liked_by_me,first_name,feedback,login,publication,user_type,company_size,publication_status,publication_id,scope,governance_level,feedback_text_user_language,tr_number
en,3498684,DNK,Danish Industry,,PUBLISHED,2024-11-28 23:02:20,False,Ares(2024)7742910,False,,"On behalf of Danish Industry, we thank you for the opportunity to provide input to the consultation regarding conditions and proce-dures related to the CBAM registry. Please see the attached document for the input provided.",,anonymous,business_association,large,closed,33195975,,,,
en,3498681,NOR,Norwegian Customs,,PUBLISHED,2024-11-28 22:19:29,False,Ares(2024)7742910,False,,"Subject: Input on the consultation on CBAM establishment of CBAM Registry Regarding the proposal for the establishment of CBAM Registry, Ref. Ares(2024)7742910 - 31/10/2024: Considering the importance of the successful realisation of the CBAM arrangement it is important to be able to review the impacts of the mechanism. To secure a best possible base for such assessment a collection of import and re-export information is vital. However, considering the diversified nature of Customs systems it is essential to allow for alternative methods of conveying such data to the Commission and the CBAM registry other than the Surveillance system, until common solutions are found for all CBAM reporting countries. Norwegian Customs therefore supports the possibility to use alternative ways to report the CBAM data as suggested in the proposals preamble number 10 and in article 5 no 1 (g): the CBAM Transitional Registry as referred to in Article 10 of Implementing Regulation (EU) 2023/1773.",,anonymous,public_authority,large,closed,33195975,national,authority,,
en,3498679,BRA,Anonymous,,PUBLISHED,2024-11-28 21:26:27,False,Ares(2024)7742910,False,,"For operations involving multiple operators in the chain, the system should require product emission data from the beginning of the chain. For operations involving multiple traders in the chain, the system should require the registration of all traders in the chain. The system should include a value simulator that can provide emission data for the operators involved. The CBAM should be the official source of emissions for transactions conducted with the EU, aiming to reduce the reporting burden on operators. The obligation to report emission data in the CBAM should be annual for those operators who only calculate emissions once a year. Deadlines for data updates, declarations, record validity, or other relevant milestones in the system should be systematically notified to declarants and operators via electronic messages sent to previously registered email addresses, with 60, 30, 15, and 10 days' notice. The CBAM should have its mapping of accredited verifiers available in regions other than the EU. The approval period for the registrar (120 days is too long) should be reduced, or at least an emergency procedure should be created. There is a need to develop regulations for the financial guarantees required to cover CBAM certificates. Additionally, non-financial guarantees should be accepted. Simplification of forms with the possibility of cross-authorization between registrars so that one can use the information of the other, if it makes sense. Creation of a transparency portal where registrars can monitor their processes and third parties can monitor the registrants to provide a minimum level of security for process participants who are not importers. There is a need to open specific regulations for users outside the EU, as the system will be interchangeable with other EU customs systems.",,anonymous,company,large,closed,33195975,,,,
de,3498669,DEU,DIHK (Deutsche Industrie- und Handelskammer),Reinacher,PUBLISHED,2024-11-28 17:16:35,False,Ares(2024)7742910,False,Anne,"2026 startet der Echtbetrieb für CBAM. Nur registrierte CBAM-Anmelder können dann die betroffenen Güter im Zollgebiet der EU anmelden und die Einfuhr ermöglichen. Es ist sehr wesentlich, dass eine derart komplexe Berichtspflicht wie der CBAM über ein technisches einwandfrei funktionierendes Berichtstool verfügt. Die Bedienerfreundlichkeit des Portals muss sichergestellt werden. Insbesondere müssen die Erfahrungen mit dem Übergangsregister einfließen. Es sollte umfangreiche Testmöglichkeiten vor dem Start des Echtbetriebs geben. Wir bitten um Überprüfung, ob das neue Register alle Anforderungen erfüllt, die für die Unternehmen wichtig sind. Wir haben sie im Folgenden aufgeführt. Die Anforderungen an das CBAM-Register aus Sicht der Unternehmen sind die Folgenden (Auswahl): - Das CBAM-Register sollte in allen Amtssprachen der EU zur Verfügung gestellt werden. - Es sollte eine funktionsfähige Übersichtsversion zum Melden von Daten ohne Registrierung geben. - Die Fehlermeldungen sollten einfach verständlich sein, um die Erstellung und Abgabe der CBAM-Berichte zu beschleunigen. - Erklärungen für Eingabefelder sollten das Ausfüllen unterstützen und vereinfachen. - Die Zolldaten der importierten CBAM-Güter pro Importeur sollten auf Basis dessen EORI-Nummer direkt im Register bereitgestellt werden. Dafür sollten Importdaten von der Zollverwaltung vorab zur Verfügung gestellt werden. Das meldepflichtige Unternehmen prüft, korrigiert und ergänzt diese dann, nicht erst nach dem Hochladen des CBAM-Berichts. Dies würde auch helfen, sicherzustellen, dass Unternehmen vollständige CBAM-Berichte abgeben. - Es muss eine praktikable De-Minimis-Regelung für Kleinsendungen eingeführt werden. Diese kann sich am Gewicht orientieren, beispielsweise eine Tonne oder am Wert. Beim CBAM-System in Großbritannien liegt die De-Minimis-Schwelle beispielsweise bei 50.000 Pfund. - Bei der Eingabe der Daten sollte für die Nutzer ersichtlich sein, ob Daten auf Positionseben im System gespeichert wurden. Es sollte sichergestellt werden, dass Daten, die versehentlich gelöscht wurden, wiederhergestellt werden können. - Es sollte es möglich sein, Daten im System zwischenzuspeichern. - Sollte es zu Systemüberlastungen oder -ausfällen kommen, sollte es systemseitig eine Mitteilung geben, sobald das System wieder stabil ist und eine weitere Dateneingabe wieder möglich ist. - Es muss möglich sein, dass Unternehmen CBAM-Berichte herunterladen können. - Eine System to System connection muss unbedingt gewährleistet sein, damit bei hohen Volumen nicht einzelne Angaben gemacht werden müssen. Ein Excel-Upload reicht nicht aus. - Der Excel-Upload sollte dahingehend vereinfacht werden, sodass Auswertungen aus den bekannten Zollsoftwareanwendungen einfach ergänzt und eingespielt werden können. - Das Register sollte eine zentrale Meldung für mehrere Unternehmensteile oder Schwesterunternehmen ermöglichen. Ein konzerneinheitliches CBAM-Reporting (ein CBAM-Deklarant für mehrere Unternehmensteile, Tochtergesellschaften o. ä.) würde bei größeren Unternehmen oder Unternehmensverbünden den administrativen Aufwand zum Teil deutlich reduzieren. Dies muss auch mitgliedstaatenübergreifend möglich sein. - Gleichzeitig muss es für Vertreter mehrerer anderer Unternehmen (bspw. Zolldienstleister) möglich sein, Informationen je vertretenes Unternehmen anzugeben, um dies nicht umständlich auf Positionsebene einpflegen zu müssen. Dann wäre auch ein separater Bericht pro vertretenes Unternehmen möglich. Der derzeit im Übergangsregister erstellte Bericht enthält abschließend die Informationen aller vertretenen Unternehmen, sodass dieser datenschutzrechtlich nicht an die Vertretenen ausgehändigt werden kann. weitere Punkte s. Anhang",,withinfo,other,medium,closed,33195975,,,"In 2026, CBAM will start real operations. Only registered CBAM declarants can then declare the goods concerned in the customs territory of the EU and allow their import. It is very essential that such a complex reporting obligation as the CBAM has a well-functioning technical reporting tool. The user-friendliness of the portal must be ensured. In particular, experience with the transitional register shall be taken into account. There should be extensive testing possibilities before the start of real-life operations. We would ask you to check whether the new register meets all the requirements that are important for the companies. We have listed them below. The requirements for the CBAM registry from a business perspective are the following (choice): The CBAM registry should be made available in all official languages of the EU. There should be a functional overview version to report data without registration. The error messages should be easy to understand in order to speed up the preparation and submission of CBAM reports. Explanations for input fields should support and simplify the completion. The customs data of the imported CBAM items per importer should be made available directly in the registry based on its EORI number. For this purpose, import data should be made available in advance by the customs administration. The reporting entity then checks, corrects and supplements them, not only after the CBAM report has been uploaded. This would also help to ensure that companies submit full CBAM reports. It is necessary to introduce a practical de minimis rule for small consignments. This can be based on weight, e.g. one tonne or value. For example, for the CBAM system in Great Britain, the de minimis threshold is 50.000 pounds. When entering the data, it should be clear to users whether data has been stored on positions in the system. It should be ensured that data that have been accidentally deleted can be restored. It should be possible to temporarily store data in the system. In the event of system overload or failure, there should be a message on the system side as soon as the system is again stable and further data entry is possible again. It must be possible for companies to download CBAM reports. A system to system connection must be guaranteed so that, in the case of high volumes, individual information is not required. An Excel upload is not sufficient. The Excel upload should be simplified so that evaluations from the well-known customs software applications can easily be completed and fed into. The register should allow for centralised reporting for several parts of the undertaking or sister companies. Unitary CBAM reporting (a CBAM decorator for several parts of the company, subsidiaries, etc.) would in part significantly reduce the administrative burden for larger companies or business groupings. This must also be possible across Member States. At the same time, for representatives of several other undertakings (e.g. Customs service providers) are able to provide information per company represented in order not to be cumbersome to maintain this at position level. A separate report per company represented would then also be possible. The report currently drawn up in the transitional register contains the information of all the companies represented, so that it cannot be handed over to the representatives under data protection law.",22400601191-42
en,3498668,RUS,Non-profit organization Russian Fertilizers Producers Association,Kuznetsov,PUBLISHED,2024-11-28 17:15:53,False,Ares(2024)7742910,False,Maksim,"As a manufacturer of products, we are afraid that the deadlines provided for in the regulations are too short, and the declarant will not be able to comply with the necessary requirements in such time intervals. For example, chapter 1, article 12 ""Procedure and format of consultations for the issuance of a permit"", paragraph 6 ""The competent authority may request additional information and documentation from the parties consulted. The consulted party must provide additional information and documentation within 5 working days."" We believe that this period is clearly not enough.",,withinfo,business_association,large,closed,33195975,,,,
en,3498664,DEU,BMW AG,Hessler,PUBLISHED,2024-11-28 16:28:16,False,Ares(2024)7742910,False,Moritz,"-1- API Implementation: -1.1- APIs should be prioritized to ensure efficient data exchange and integration, hence start reducing disproportionate administrative burdens. -2- Operators Registry: -2.1- Clear guidelines are needed on the responsibilities and liabilities for reporting required information to the registry. It should be clarified whether declarants will be able to see and monitor their suppliers' feedback in the operators registry, as further detailing of Article 21(2) is required. -2.2- Specify Mandatory Use / Unique Entry Point: The binding nature of the Operators Registry must be clarified, including measures for cases where suppliers refuse to register. -2.3- Specify Interdependency and Mechanics: The relationship between aggregated reports at the installation level from larger suppliers and their allocation to individual importers at the declarant level needs to be defined. Furthermore, there should be a possibility to formally challenge information provided by operators within the portals. -3- Holistic View, Redundancy: -3.1- The Registry should provide a comprehensive view for declarants and avoid redundant data capture previously submitted to other authority systems (e.g., import/EORI information, declarant master data, operators master data). It should also better facilitate the management of (late) corrections and enhance analytical capabilities to ensure report completeness. -4- Addressing Current Issues: The underlying logic and interoperability should address: -4.1- restricted supply chain visibility (i.e. anti-trust issues), -4.2- increased complexities in special customs procedures. -5- Joint Reporting: -5.1-Enhance capabilities for joint reporting for multiple EORIs through a single declarant. -6- Communication : -6.1- Ensure actual embedded communication between the COM / NCA and the respective declarant, managed by an overall EU helpdesk. -6.2- Distribute information about critical regulatory changes, including guidance and structural updates, consistently across the EU through the registry. -7- Operability: -7.1- Avoid go lives around the respective quarterly reporting deadlines. All relevant stakeholders must (not: may) be fully onboarded (Article 17). -7.2- The systems should be available for at least three reporting quarters before the definitive period to ensure their stability and precision (Articles 15 and 16) before entering into increased requirements.",,withinfo,business_association,large,closed,33195975,,,,
en,3498663,BEL,European Aluminium,MANIGRASSI,PUBLISHED,2024-11-28 16:17:59,False,Ares(2024)7742910,False,Emanuele,"We welcome the European Commissions efforts to develop a framework for the CBAM registry. Nevertheless, certain provisions in the draft Implementing Regulation require revision to improve clarity, operational coherence, and alignment with established frameworks. Firstly, Article 4(2) introduces ambiguity by implying that both the competent authority and other entities may be responsible for communicating decisions on penalties. This phrasing conflicts with Article 26(4) of the CBAM Regulation (EU) 2023/956, which assigns this responsibility solely to the competent authority. To address this, we recommend amending Article 4(2) to clarify that only the competent authority is responsible for communicating penalty decisions. Secondly, Article 10, which governs the CBAM Operators Portal, requires several clarifications: 1. The article does not explicitly state that the portal applies to operators of installations in third countries, potentially leading to confusion. To resolve this, the text should clearly specify its scope. 2. The phrasing of Article 10(2)(b) allows for potential misinterpretation that operators can register information on goods from installations other than their own. We suggest revising this to specify information on the goods produced by its installation. 3. The draft does not indicate whether the use of the portal is voluntary, leaving operators uncertain about compliance requirements. We recommend explicitly stating that the portals use is voluntary, ensuring flexibility. Next, Article 16 refers to a business continuity plan to address temporary registry failures but provides no details or definitions. This omission leaves stakeholders uninformed about its content or application. To enhance transparency, the legal text should either define the term or outline its components. Furthermore, Article 21 on the confidentiality of data within the CBAM registry raises concerns about transparency and consistency with the EU ETS framework. The CBAM framework designates most registry information as confidential, restricting public access to key data and undermining accountability. In contrast, the ETS Registry, referencing Directive 2003/4/EC on public access to environmental information, provides transparency through publicly available data on installations, emissions, and free allocations. The CBAM Regulation itself (Article 1(2)) emphasises the need for equivalence with ETS rules. To align with these principles, we recommend: 1. Clearly defining personal data and specifying what information is accessible to authorised CBAM declarants, operators, and other actors. 2. Revising Article 21 to reflect the transparency standards of the ETS Registry, with a reference to Directive 2003/4/EC. 3. Publishing key information, such as contact details of declarants and operators, as well as total emissions and CBAM certificates. Finally, Article 23(1) stipulates a 10-year data retention period, which exceeds the 5-year limit set by Regulation (EU) 2023/1773 during the transitional period. To ensure consistency, we recommend aligning the CBAM registrys data retention period with this 5-year standard. These adjustments will ensure the CBAM registry operates transparently, efficiently, and in harmony with existing regulatory frameworks. For further details on these recommendations, please refer to the position paper accompanying this submission. For further details and expanded justifications for these recommendations, please refer to the position paper accompanying this submission.",,withinfo,company,large,closed,33195975,,,,9224280267-20
en,3498658,POL,Wojskowe Zakłady Uzbrojenia S.A.,,PUBLISHED,2024-11-28 15:28:38,False,Ares(2024)7742910,False,,"We would like to share with some experience/problems in applying CBAM policy: - Inability to obtain any information from the supplier on the carbon footprint for products imported from the USA. Suppliers from the USA do not have such information and do not receive it from producers as carbon calculations involve additional financial outlay (costs of hiring additional staff, outsourcing, installation of metering equipment) and responsibilities. - Complicated carbon footprint calculations - cumbersome, labor-intensive and difficult to perform. - Compliance with EU regulations and registration on the CBAM portal by operators and companies with installations in the US raises concerns over implementation. - Suppliers do not want to share information about their subcontractors and manufacturers. - The inability to find alternatives to suppliers of US-origin goods, which are certified according to standards that mainly operate in the US (e.g. AWS for welding, AS, etc.). These suppliers know that they are a scarce source for obtaining such goods and will not comply with regulations of countries outside the US. - The inability to find alternatives to suppliers of US-origin goods, which must be purchased for government projects based on FAR or DFAR requirements. Suppliers supplying goods under these regulations will not be aligned with the regulations of countries outside the US. Proposal for discussion in future: - The creation of viable and simple to operate exemptions from CBAM reporting of third country deliveries of goods intended for the production of military equipment and armaments used for EU and NATO member states. - Creation of default coefficients for CBAM reportable commodities to be used when actual data cannot be obtained.",,anonymous,company,large,closed,33195975,,,,
de,3498657,DEU,Deutsche Säge- und Holzindustrie Bundesverband (DeSH),Möbus,PUBLISHED,2024-11-28 15:20:13,False,Ares(2024)7742910,False,Julia,"Der Deutsche Säge- und Holzindustrie Bundesverband vertritt mehr als 400 Unternehmen, die den Rohstoff Holz verarbeiten. Wir befürworten, dass durch die Einführung des CO2-Grenzausgleichssystems (CBAM) für in der EU hergestellte Produkte und in die EU importierte Produkte gleiche Wettbewerbsbedingungen geschaffen werden sollen. Die Einrichtung des CBAM-Registers als valides Nachweis- und Dokumentationssystem wird dazu die Grundlage bilden. Um eine Funktionsfähigkeit und Nachprüfbarkeit der Datenbank herzustellen und zu gewährleisten, ist die Einrichtung von standardisierten Datenschnittstellen notwendig. Ebenso zentral ist die Information, Schulung und Praxistest in den Drittländern, um die verpflichtende Informationsbereitstellung zu garantieren.",,withinfo,business_association,small,closed,33195975,,,"The Deutsches Säge- und Holzindustrie Bundesverband represents more than 400 companies processing the raw material wood. We support a level playing field for products manufactured in the EU and products imported into the EU through the introduction of the Carbon Border Adjustment Mechanism (CBAM). The establishment of the CBAM registry as a valid evidence and documentation system will be the basis for this. In order to establish and ensure the functionality and verifiability of the database, it is necessary to establish standardised data interfaces. Information, training and practical testing in third countries is also central in order to guarantee the mandatory provision of information.",171640811897-34
en,3498648,ITA,FEDERACCIAI - Federation of the Italian Steel Companies,LOMBARDI-SATRIANI,PUBLISHED,2024-11-28 12:47:42,False,Ares(2024)7742910,False,Carlo,"Federacciai, the Federation of the Italian Steel Companies, fully supports the attached joint paper by Eurofer and other European associations.",,withinfo,company,small,closed,33195975,,,,288211239086-16
