cause,cause_remapped,effect,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer
carbon energy sources,access to low-carbon energy sources,digital infrastructure,effect,0.42951506,0.7127,"[('carbon', 0.4206), ('competitive', 0.2867), ('access', 0.2525), ('low', 0.2225), ('sources', 0.2063), ('low carbon', 0.5636), ('energy sources', 0.542), ('competitive access', 0.466), ('access low', 0.3367), ('sources', 0.2063), ('carbon energy sources', 0.7127), ('competitive access low', 0.4679), ('energy', 0.2759), ('low', 0.2225), ('sources', 0.2063)]",0.726871669,0.5,on infrastructure it called for competitive access to low carbon energy sources such as thermal biowaste and electricity.
renewable energy sources,access to low-carbon energy sources,electrification of industry,increase,0.11214675,0.8844,"[('renewable', 0.7236), ('energy', 0.4531), ('sources', 0.2618), ('renewable energy', 0.8148), ('energy sources', 0.7307), ('renewable', 0.7236), ('energy', 0.4531), ('sources', 0.2618), ('renewable energy sources', 0.8844), ('energy sources', 0.7307), ('renewable', 0.7236), ('energy', 0.4531), ('sources', 0.2618)]",0.7636107206344604,1,"the ember report finds that the electrification needs of the heavy industries sector, however, can be met with renewable energy sources, and says that this would significantly reduce the sector ' s emissions."
access energy,access to low-carbon energy sources,high carbon costs,effect,0.90090173,0.8606,"[('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571)]",0.793023407,0.5,"in order to rebuild the competitiveness of our nfm industry, the only way is to ensure globally competitive production costs, starting with access to energy."
access energy,access to low-carbon energy sources,raw material costs,increase,0.9591294,0.8606,"[('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571)]",0.8151901364326477,1,"in order to rebuild the competitiveness of our nfm industry, the only way is to ensure globally competitive production costs, starting with access to energy."
access energy,access to low-carbon energy sources,raw material costs,increase,0.6243745,0.8606,"[('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571)]",0.7927716970443726,1,"in order to rebuild the competitiveness of our nfm industry, the only way is to ensure globally competitive production costs, starting with access to energy."
access energy,access to low-carbon energy sources,raw material costs,decrease,0.797876,0.8606,"[('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571)]",0.7926968336105347,-1,"in order to rebuild the competitiveness of our nfm industry, the only way is to ensure globally competitive production costs, starting with access to energy."
access energy,access to low-carbon energy sources,raw material costs,effect,0.6749154,0.8606,"[('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571), ('access energy', 0.8606), ('energy', 0.6656), ('access', 0.4571)]",0.7795188426971436,0.5,"in order to rebuild the competitiveness of our nfm industry, the only way is to ensure globally competitive production costs, starting with access to energy."
adaption competition policy,adaption competition policy,EU industrial competitiveness,decrease,0.999451,0.828,"[('competition', 0.5058), ('policy', 0.3408), ('adaption', 0.2851), ('framework', 0.2741), ('competition policy', 0.7569), ('adaption competition', 0.6163), ('policy framework', 0.4967), ('adaption', 0.2851), ('framework', 0.2741), ('adaption competition policy', 0.828), ('competition', 0.5058), ('policy', 0.3408), ('adaption', 0.2851), ('framework', 0.2741)]",0.8480029702186584,-1,"without an adaption of the competition policy framework, eu industrial competitiveness is at risk."
adaption competition policy,adaption competition policy,EU industrial competitiveness,effect,0.8392784,0.828,"[('competition', 0.5058), ('policy', 0.3408), ('adaption', 0.2851), ('framework', 0.2741), ('competition policy', 0.7569), ('adaption competition', 0.6163), ('policy framework', 0.4967), ('adaption', 0.2851), ('framework', 0.2741), ('adaption competition policy', 0.828), ('competition', 0.5058), ('policy', 0.3408), ('adaption', 0.2851), ('framework', 0.2741)]",0.8444088101387024,0.5,"without an adaption of the competition policy framework, eu industrial competitiveness is at risk."
carbon adjustment imports,administrative complexity,EU CBAM,effect,0.11884961,0.7204,"[('bureaucratic', 0.4414), ('imports', 0.4007), ('carbon', 0.3759), ('adjustment', 0.2542), ('madness', 0.1985), ('adjustment imports', 0.5272), ('bureaucratic madness', 0.5249), ('carbon', 0.3759), ('mechanism', 0.2029), ('dubbed', 0.0485), ('carbon adjustment imports', 0.7204), ('imports dubbed bureaucratic', 0.6434), ('bureaucratic madness', 0.5249), ('mechanism', 0.2029), ('dubbed', 0.0485)]",0.7411165833473206,0.5,"in particular, the mechanism of carbon adjustment of imports has already been dubbed "" bureaucratic madness "" in the eu."
costs avoiding carbon,administrative complexity,EU climate policy,effect,0.18265064,0.6304,"[('carbon', 0.3917), ('risks', 0.3835), ('minimisation', 0.2386), ('legal', 0.208), ('administrative', 0.2061), ('economic harms', 0.5105), ('carbon leakage', 0.4571), ('administrative complexity', 0.3636), ('political', 0.3408), ('limitation legal', 0.257), ('costs avoiding carbon', 0.6304), ('legal political risks', 0.481), ('avoidance social', 0.3185), ('leakage', 0.2365), ('administrative', 0.2061)]",0.7966188788414001,0.5,"we also see other important objectives, including the avoidance of social and economic harms, the limitation of legal and political risks, the minimisation of the administrative complexity and costs of avoiding carbon leakage."
structurally,administrative complexity,high energy prices,effect,0.36694828,0.7354,"[('structurally', 0.7354), ('structurally', 0.7354), ('structurally', 0.7354)]",0.7796382308006287,0.5,"prime minister, you have mentioned some of them, from the structurally too high energy prices to excessive regulatory burden, without any question."
businesses submit data,administrative complexity,international trade,decrease,0.28116468,0.7573,"[('businesses', 0.4679), ('data', 0.3975), ('national', 0.3021), ('submit', 0.2696), ('27', 0.1577), ('businesses submit', 0.6309), ('submit data', 0.452), ('national bodies', 0.4072), ('data', 0.3975), ('27', 0.1577), ('businesses submit data', 0.7573), ('bodies businesses', 0.4626), ('27 national bodies', 0.4623), ('data', 0.3975), ('submit', 0.2696)]",0.7432581186294556,-1,"where ? the international chamber of commerce (icc) previously warned of "" serious compliance challenges facing companies of all sizes "" due to the 27 national bodies to which businesses must submit their data."
confusion reporting fatigue,administrative complexity,poor alignment of reporting requirements with sustainability performance,decrease,0.6217651,0.7642,"[('fatigue', 0.4789), ('reporting', 0.4089), ('clearer', 0.3942), ('instructions', 0.3831), ('reduce', 0.1213), ('reporting fatigue', 0.6658), ('clearer instructions', 0.5828), ('confusion reporting', 0.55), ('confusion', 0.2825), ('reduce', 0.1213), ('confusion reporting fatigue', 0.7642), ('clearer instructions reduce', 0.5403), ('reporting', 0.4089), ('clearer', 0.3942), ('instructions', 0.3831)]",0.8395406603813171,-1,"the number of required data points is being reduced by around 70 %, with clearer instructions to reduce confusion and reporting fatigue."
treating suppliers fairly,administrative complexity,priortization of sustainable practices,decrease,0.15191777,0.7063,"[('suppliers', 0.5181), ('environmental', 0.3015), ('reduces', 0.2983), ('conditions', 0.2411), ('fair', 0.0924), ('treating suppliers', 0.675), ('countries reduces', 0.4657), ('environmental footprint', 0.4377), ('improve working', 0.2633), ('fairly paying', 0.1936), ('treating suppliers fairly', 0.7063), ('countries reduces', 0.4657), ('environmental footprint', 0.4377), ('helps improve working', 0.2825), ('fair', 0.0924)]",0.8153160810470581,-1,"treating suppliers fairly and paying fair prices for goods and services not only helps to improve working conditions in the producing countries, but also reduces the company ' s environmental footprint."
administrative complexity,administrative complexity,raw material costs,decrease,0.16232628,0.9724,"[('complexity', 0.7279), ('administrative', 0.6283), ('administrative complexity', 0.9724), ('complexity', 0.7279), ('administrative', 0.6283), ('administrative complexity', 0.9724), ('complexity', 0.7279), ('administrative', 0.6283)]",0.770304799,-1,"we also see other important objectives, including the avoidance of social and economic harms, the limitation of legal and political risks, the minimisation of the administrative complexity and costs of avoiding carbon leakage."
increased complexity,administrative complexity,regulatory certainty,decrease,0.90631294,0.8795,"[('complexity', 0.6794), ('increased', 0.3352), ('increased complexity', 0.8795), ('complexity', 0.6794), ('increased', 0.3352), ('increased complexity', 0.8795), ('complexity', 0.6794), ('increased', 0.3352)]",0.7832037210464478,-1,"as we take stock, we see that this accumulation of rules, and their increased complexity, are limiting our economic potential and our prosperity."
rules increased complexity,administrative complexity,regulatory certainty,decrease,0.98420215,0.8958,"[('complexity', 0.6362), ('rules', 0.3736), ('accumulation', 0.3456), ('increased', 0.1726), ('increased complexity', 0.6912), ('rules increased', 0.6678), ('rules', 0.3736), ('accumulation', 0.3456), ('increased', 0.1726), ('rules increased complexity', 0.8958), ('complexity', 0.6362), ('rules', 0.3736), ('accumulation', 0.3456), ('increased', 0.1726)]",0.7604372501373291,-1,"as we take stock, we see that this accumulation of rules, and their increased complexity, are limiting our economic potential and our prosperity."
excessive compliance burdens,administrative complexity,regulatory simplification,decrease,0.10608381,0.7736,"[('compliance', 0.5876), ('inefficiencies', 0.4333), ('burdens', 0.3395), ('uncertainty', 0.3371), ('legal', 0.2208), ('compliance burdens', 0.7278), ('administrative inefficiencies', 0.5871), ('uncertainty', 0.3371), ('excessive', 0.273), ('legal', 0.2208), ('excessive compliance burdens', 0.7736), ('inefficiencies', 0.4333), ('uncertainty', 0.3371), ('administrative', 0.3267), ('legal', 0.2208)]",0.7954984307289124,-1,"these changes provide some relief to businesses that have been weighed down by excessive compliance burdens, legal uncertainty and administrative inefficiencies."
excessive compliance burdens,administrative complexity,regulatory simplification,effect,0.22936608,0.7736,"[('compliance', 0.5876), ('inefficiencies', 0.4333), ('burdens', 0.3395), ('uncertainty', 0.3371), ('legal', 0.2208), ('compliance burdens', 0.7278), ('administrative inefficiencies', 0.5871), ('uncertainty', 0.3371), ('excessive', 0.273), ('legal', 0.2208), ('excessive compliance burdens', 0.7736), ('inefficiencies', 0.4333), ('uncertainty', 0.3371), ('administrative', 0.3267), ('legal', 0.2208)]",0.7675971388816833,0.5,"these changes provide some relief to businesses that have been weighed down by excessive compliance burdens, legal uncertainty and administrative inefficiencies."
