organisation,url
Oxfam,https://www.oxfam.org/en/press-releases/european-parliament-vote-carbon-border-tariff-step-still-unfair-poorer-countries
Oxfam,https://www.oxfam.org/en/press-releases/eu-carbon-border-tariff-passes-buck-least-responsible
Oxfam,https://www.politico.eu/article/european-union-carbon-border-tax/
Oxfam,https://www.oxfam.org/en/press-releases/oxfam-reaction-european-commission-proposals-corporate-tax-are-far-cry-fair
Oxfam,https://illuminem.com/illuminemvoices/why-the-carbon-border-adjustment-mechanism-needs-rethinking-for-developing-countries
Oxfam,https://asuene.com/us/blog/europes-omnibus-package-background-and-key-changes
Oxfam,https://edepot.wur.nl/646410
Oxfam,https://oxfambelgie.be/cbamakkoord
Oxfam,https://www.un.org/ldcportal/events/panel-event-impact-cbam-poorer-countries-oxfam-eu
Oxfam,https://www.oxfam.org/fr/node/17129
Oxfam,https://www.oxfam.org/fr/node/20039
Oxfam,https://indepthnews.net/the-new-eu-list-of-tax-havens-much-ado-about-nothing/
Oxfam,https://www.oxfam.org/es/node/21608
Oxfam,https://www.oxfam.org/es/node/20039
Oxfam,https://www.oxfam.org/en/press-releases/media-advisory-au-eu-summit
Oxfam,https://www.un.org/ldcportal/ar/node/2540
Oxfam,https://www.linkedin.com/posts/oxfam-international-eu-advocacy_cbam-cbam-eu-activity-6930081877387055105-mbrQ
Oxfam,https://3degreesinc.com/insights/scope-3-and-supply-chain-transparency-sustainability-live-london-recap/
Oxfam,https://www.oxfam.org/fr/node/19144
Oxfam,https://blogs.surrey.ac.uk/centre-britain-and-europe/2023/01/03/cbe-winter-long-read/
CEFIC,https://cefic.org/library-item/cefic-position-paper-on-carbon-border-adjustment-mechanism-cbam/
CEFIC,https://cefic.org/policy-matters/climate-change-and-energy/eu-carbon-market-and-ets-link-tbc/
CEFIC,https://news.cefic.org/storage/media/832/Summary-report-Policy-Horizon-ETS-and-CBAM-9March202302.docx
CEFIC,https://news.cefic.org/event/cbam-and-ets-join-us-to-understand-the-implications-and-navigate-the-transition
CEFIC,https://ercst.org/ercst-guide-to-the-eu-cbam/
CEFIC,https://www.kemianteollisuus.fi/wp-content/uploads/2025/03/Position_Paper_CBAM-1.pdf
CEFIC,https://www.apquimica.pt/uploads/fotos_artigos/files/cefic-position-paper-on-carbon-border-adjustment-mechanism.pdf
CEFIC,https://news.cefic.org/article/follow-up-material-policy-horizon-on-ets-cbam-summary-report
CEFIC,https://www.apquimica.pt/pt/noticias-e-eventos/eventos/webinar-cefic-understanding-the-impact-of-cbam-on-chemicals-how-companies-can-prepare-for-the-future
CEFIC,https://cefic.org/app/uploads/2022/01/Cefic-position-on-CBAM-The-Carbon-Border-Adjustment-Mechanism-CBAM-proposal-needs-upgrading-for-chemicals.pdf
CEFIC,https://cefic.org/media-corner/newsroom/cefic-identifies-policy-areas-that-need-a-more-supportive-legislative-framework/
